Weather Disasters to affect the U.S. from 1980-2023 (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,
Name,Disaster,Disaster Group,Begin Date,Yb,Mb,Db,End Date,Ye,Me,De,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Durn (days),Durn (Weeks),Durn (Cal Mos),Central Day,Day of W_yr,MidPt Mo,W_Yr,W_Week,W_Mo,SeasNum,Season
North Central Severe Weather and Tornadoes (August 2006),Severe Storm,SevStorm/Flood,8/23/2006,2006,8,23,8/24/2006,2006,8,24,1146.2,1,0,0,0,8/23/2006,235,8,2006,34,8,3,Summer
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,WF/Drought,3/1/2006,2006,3,1,8/31/2006,2006,8,31,9296.7,0,182,26,7,5/31/2006,151,5,2006,22,5,2,Spring
Central Severe Weather (October 2006),Severe Storm,SevStorm/Flood,10/2/2006,2006,10,2,10/5/2006,2006,10,5,1336.1,1,2,1,1,10/3/2006,276,10,2006,40,10,4,Fall
Numerous Wildfires (2006),Wildfire,WF/Drought,1/1/2006,2006,1,1,12/31/2006,2006,12,31,2273.8,28,363,52,13,7/2/2006,183,7,2006,27,7,3,Summer
California Freeze (January 2007),Freeze,Winter/Freeze,1/11/2007,2007,1,11,1/17/2007,2007,1,17,2128,1,5,1,1,1/14/2007,14,1,2007,2,1,1,Winter
Spring Freeze (April 2007),Freeze,Winter/Freeze,4/4/2007,2007,4,4,4/10/2007,2007,4,10,3107,0,5,1,1,4/7/2007,97,4,2007,14,4,2,Spring
East/South Severe Weather and Flooding (April 2007),Severe Storm,SevStorm/Flood,4/13/2007,2007,4,13,4/17/2007,2007,4,17,3736.7,9,3,1,1,4/15/2007,105,4,2007,15,4,2,Spring
Western Wildfires (Summer 2007),Wildfire,WF/Drought,6/1/2007,2007,6,1,8/31/2007,2007,8,31,4029.7,12,90,13,3,7/16/2007,197,7,2007,29,7,3,Summer
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,WF/Drought,6/1/2007,2007,6,1,11/30/2007,2007,11,30,5378,15,181,26,7,8/31/2007,243,8,2007,35,8,3,Summer
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,SevStorm/Flood,1/4/2008,2008,1,4,1/9/2008,2008,1,9,1424.2,12,4,1,1,1/6/2008,6,1,2008,1,1,1,Winter
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,SevStorm/Flood,2/5/2008,2008,2,5,2/6/2008,2008,2,6,1756.9,57,0,0,0,2/5/2008,36,2,2008,6,2,1,Winter
Southeast Tornadoes (March 2008),Severe Storm,SevStorm/Flood,3/14/2008,2008,3,14,3/15/2008,2008,3,15,1628.6,5,0,0,0,3/14/2008,74,3,2008,11,3,2,Spring
Southern Severe Weather (April 2008),Severe Storm,SevStorm/Flood,4/9/2008,2008,4,9,4/11/2008,2008,4,11,1486.7,2,1,1,1,4/10/2008,101,4,2008,15,4,2,Spring
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,SevStorm/Flood,5/22/2008,2008,5,22,5/27/2008,2008,5,27,4301.9,13,4,1,1,5/24/2008,145,5,2008,21,5,2,Spring
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,SevStorm/Flood,6/6/2008,2008,6,6,6/12/2008,2008,6,12,2290.3,18,5,1,1,6/9/2008,161,6,2008,23,6,3,Summer
Midwest Flooding (Summer 2008),Flooding,SevStorm/Flood,4/1/2008,2008,4,1,6/30/2008,2008,6,30,14439.8,24,89,13,3,5/16/2008,137,5,2008,20,5,2,Spring
Hurricane Dolly (July 2008),Tropical Cyclone,Tropical Cyclone,7/23/2008,2008,7,23,7/25/2008,2008,7,25,1774.2,3,1,1,1,7/24/2008,206,7,2008,30,7,3,Summer
Hurricane Gustav (September 2008),Tropical Cyclone,Tropical Cyclone,8/31/2008,2008,8,31,9/3/2008,2008,9,3,8395.8,53,2,1,1,9/1/2008,245,9,2008,35,9,4,Fall
Hurricane Ike (September 2008),Tropical Cyclone,Tropical Cyclone,9/12/2008,2008,9,12,9/14/2008,2008,9,14,41998.3,112,1,1,1,9/13/2008,257,9,2008,37,9,4,Fall
U.S. Wildfires (Fall 2008),Wildfire,WF/Drought,9/1/2008,2008,9,1,11/30/2008,2008,11,30,1727.7,16,89,13,3,10/16/2008,290,10,2008,42,10,4,Fall
U.S. Drought (2008),Drought,WF/Drought,1/1/2008,2008,1,1,12/31/2008,2008,12,31,10164.6,0,364,52,13,7/1/2008,183,7,2008,27,7,3,Summer
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,SevStorm/Flood,2/10/2009,2009,2,10,2/11/2009,2009,2,11,2523.4,10,0,0,0,2/10/2009,41,2,2009,6,2,1,Winter
Midwest/Southeast Tornadoes (March 2009),Severe Storm,SevStorm/Flood,3/25/2009,2009,3,25,3/28/2009,2009,3,28,2362.3,0,2,1,1,3/26/2009,85,3,2009,13,3,2,Spring
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,SevStorm/Flood,4/9/2009,2009,4,9,4/10/2009,2009,4,10,2059.3,6,0,0,0,4/9/2009,99,4,2009,15,4,2,Spring
Central Derecho and Tornadoes (May 2009),Severe Storm,SevStorm/Flood,5/7/2009,2009,5,7,5/9/2009,2009,5,9,1239.8,7,1,1,1,5/8/2009,128,5,2009,19,5,2,Spring
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,SevStorm/Flood,6/9/2009,2009,6,9,6/12/2009,2009,6,12,1885.8,0,2,1,1,6/10/2009,161,6,2009,23,6,3,Summer
Colorado Hail Storm (July 2009),Severe Storm,SevStorm/Flood,7/20/2009,2009,7,20,7/20/2009,2009,7,20,1430,0,-1,0,0,7/20/2009,201,7,2009,29,7,3,Summer
Georgia Flooding (September 2009),Flooding,SevStorm/Flood,9/19/2009,2009,9,19,9/22/2009,2009,9,22,1275.9,10,2,1,1,9/20/2009,263,9,2009,38,9,4,Fall
Western Wildfires (Summer-Fall 2009),Wildfire,WF/Drought,6/1/2009,2009,6,1,11/30/2009,2009,11,30,1436.8,10,181,26,7,8/31/2009,243,8,2009,35,8,3,Summer
Southwest/Great Plains Drought (2009),Drought,WF/Drought,1/1/2009,2009,1,1,12/31/2009,2009,12,31,5063.4,0,363,52,13,7/2/2009,183,7,2009,27,7,3,Summer
Northeast Winter Storm (February 2010),Winter Storm,Winter/Freeze,2/9/2010,2010,2,9,2/11/2010,2010,2,11,1160.2,3,1,1,1,2/10/2010,41,2,2010,6,2,1,Winter
Northeast Flooding (March 2010),Flooding,SevStorm/Flood,3/1/2010,2010,3,1,3/31/2010,2010,3,31,2618.9,11,29,5,1,3/16/2010,75,3,2010,11,3,2,Spring
East/South Flooding and Severe Weather (May 2010),Flooding,SevStorm/Flood,4/30/2010,2010,4,30,5/2/2010,2010,5,2,3218,32,1,1,1,5/1/2010,121,5,2010,18,5,2,Spring
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,SevStorm/Flood,5/10/2010,2010,5,10,5/12/2010,2010,5,12,4700.7,3,1,1,1,5/11/2010,131,5,2010,19,5,2,Spring
Rockies/Central/East Severe Weather (June 2010),Severe Storm,SevStorm/Flood,6/10/2010,2010,6,10,6/15/2010,2010,6,15,1270.5,2,4,1,1,6/12/2010,163,6,2010,24,6,3,Summer
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,SevStorm/Flood,7/20/2010,2010,7,20,7/23/2010,2010,7,23,1337.2,0,2,1,1,7/21/2010,202,7,2010,29,7,3,Summer
Arizona Severe Weather (October 2010),Severe Storm,SevStorm/Flood,10/5/2010,2010,10,5,10/6/2010,2010,10,6,5320,0,0,0,0,10/5/2010,278,10,2010,40,10,4,Fall
Groundhog Day Blizzard (February 2011),Winter Storm,Winter/Freeze,2/1/2011,2011,2,1,2/3/2011,2011,2,3,2493.9,36,1,1,1,2/2/2011,33,2,2011,5,2,1,Winter
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,SevStorm/Flood,4/4/2011,2011,4,4,4/5/2011,2011,4,5,3802.1,9,0,0,0,4/4/2011,94,4,2011,14,4,2,Spring
Southeast/Midwest Tornadoes (April 2011),Severe Storm,SevStorm/Flood,4/8/2011,2011,4,8,4/11/2011,2011,4,11,2985.6,0,2,1,1,4/9/2011,99,4,2011,15,4,2,Spring
Midwest/Southeast Tornadoes (April 2011),Severe Storm,SevStorm/Flood,4/14/2011,2011,4,14,4/16/2011,2011,4,16,2821.1,38,1,1,1,4/15/2011,105,4,2011,15,4,2,Spring
Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,SevStorm/Flood,4/19/2011,2011,4,19,4/20/2011,2011,4,20,1421.4,0,0,0,0,4/19/2011,109,4,2011,16,4,2,Spring
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,SevStorm/Flood,4/25/2011,2011,4,25,4/28/2011,2011,4,28,14004.1,321,2,1,1,4/26/2011,116,4,2011,17,4,2,Spring
Midwest/Southeast Tornadoes (May 2011),Severe Storm,SevStorm/Flood,5/22/2011,2011,5,22,5/27/2011,2011,5,27,12371.7,177,4,1,1,5/24/2011,144,5,2011,21,5,2,Spring
Mississippi River flooding (April-May 2011),Flooding,SevStorm/Flood,4/1/2011,2011,4,1,5/31/2011,2011,5,31,4150.5,7,59,9,2,5/1/2011,121,5,2011,18,5,2,Spring
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,SevStorm/Flood,6/18/2011,2011,6,18,6/22/2011,2011,6,22,2090.6,3,3,1,1,6/20/2011,171,6,2011,25,6,3,Summer
Missouri River flooding (May-June 2011),Flooding,SevStorm/Flood,5/1/2011,2011,5,1,6/30/2011,2011,6,30,2783.3,5,59,9,2,5/31/2011,151,5,2011,22,5,2,Spring
"North Central Severe Weather (July 1, 2011)",Severe Storm,SevStorm/Flood,7/1/2011,2011,7,1,7/1/2011,2011,7,1,1207.7,0,-1,0,0,7/1/2011,182,7,2011,26,7,3,Summer
"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,SevStorm/Flood,7/10/2011,2011,7,10,7/11/2011,2011,7,11,1679.6,2,0,0,0,7/10/2011,191,7,2011,28,7,3,Summer
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,SevStorm/Flood,8/17/2011,2011,8,17,8/18/2011,2011,8,18,1566,0,0,0,0,8/17/2011,229,8,2011,33,8,3,Summer
Hurricane Irene (August 2011),Tropical Cyclone,Tropical Cyclone,8/26/2011,2011,8,26,8/28/2011,2011,8,28,18351.9,45,1,1,1,8/27/2011,239,8,2011,35,8,3,Summer
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,WF/Drought,3/1/2011,2011,3,1,8/31/2011,2011,8,31,16631.1,95,182,26,7,5/31/2011,151,5,2011,22,5,2,Spring
Tropical Storm Lee (September 2011),Tropical Cyclone,Tropical Cyclone,9/1/2011,2011,9,1,9/5/2011,2011,9,5,3392.1,21,3,1,1,9/3/2011,246,9,2011,36,9,4,Fall
Northeastern Winter Storm (October 2011),Winter Storm,Winter/Freeze,10/29/2011,2011,10,29,10/30/2011,2011,10,30,1258.1,1,0,0,0,10/29/2011,302,10,2011,44,10,4,Fall
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,WF/Drought,6/1/2011,2011,6,1,11/30/2011,2011,11,30,2476.2,5,181,26,7,8/31/2011,243,8,2011,35,8,3,Summer
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,SevStorm/Flood,3/2/2012,2012,3,2,3/3/2012,2012,3,3,4192.7,42,0,0,0,3/2/2012,62,3,2012,9,3,2,Spring
Texas Tornadoes (April 2012),Severe Storm,SevStorm/Flood,4/2/2012,2012,4,2,4/3/2012,2012,4,3,1350.3,0,0,0,0,4/2/2012,93,4,2012,14,4,2,Spring
Midwest Tornadoes (April 2012),Severe Storm,SevStorm/Flood,4/13/2012,2012,4,13,4/14/2012,2012,4,14,1494.4,6,0,0,0,4/13/2012,104,4,2012,15,4,2,Spring
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,SevStorm/Flood,4/28/2012,2012,4,28,5/1/2012,2012,5,1,4357.4,1,2,1,1,4/29/2012,120,4,2012,18,4,2,Spring
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,SevStorm/Flood,5/25/2012,2012,5,25,5/30/2012,2012,5,30,3087,1,4,1,1,5/27/2012,148,5,2012,22,5,2,Spring
Rockies/Southwest Severe Weather (June 2012),Severe Storm,SevStorm/Flood,6/6/2012,2012,6,6,6/12/2012,2012,6,12,3481,0,5,1,1,6/9/2012,161,6,2012,23,6,3,Summer
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,SevStorm/Flood,6/29/2012,2012,6,29,7/2/2012,2012,7,2,3870.6,28,2,1,1,6/30/2012,182,6,2012,26,6,3,Summer
Hurricane Isaac (August 2012),Tropical Cyclone,Tropical Cyclone,8/26/2012,2012,8,26,8/31/2012,2012,8,31,3675.4,9,4,1,1,8/28/2012,241,8,2012,35,8,3,Summer
Hurricane Sandy (October 2012),Tropical Cyclone,Tropical Cyclone,10/30/2012,2012,10,30,10/31/2012,2012,10,31,86502.7,159,0,0,0,10/30/2012,304,10,2012,44,10,4,Fall
Western Wildfires (Summer-Fall 2012),Wildfire,WF/Drought,6/1/2012,2012,6,1,11/30/2012,2012,11,30,2329.6,8,181,26,7,8/31/2012,244,8,2012,35,8,3,Summer
U.S. Drought/Heat Wave (2012),Drought,WF/Drought,1/1/2012,2012,1,1,12/31/2012,2012,12,31,40504.8,123,364,52,13,7/1/2012,183,7,2012,27,7,3,Summer
Southern Severe Weather (February 2013),Severe Storm,SevStorm/Flood,2/24/2013,2013,2,24,2/25/2013,2013,2,25,1217,1,0,0,0,2/24/2013,55,2,2013,8,2,1,Winter
Southeast Severe Weather (March 2013),Severe Storm,SevStorm/Flood,3/18/2013,2013,3,18,3/18/2013,2013,3,18,2666.5,1,-1,0,0,3/18/2013,77,3,2013,11,3,2,Spring
Midwest/Plains Severe Weather (April 2013),Severe Storm,SevStorm/Flood,4/7/2013,2013,4,7,4/11/2013,2013,4,11,1906.1,1,3,1,1,4/9/2013,99,4,2013,15,4,2,Spring
Illinois Flooding and Severe Weather (April 2013),Flooding,SevStorm/Flood,4/16/2013,2013,4,16,4/19/2013,2013,4,19,1421.6,4,2,1,1,4/17/2013,107,4,2013,16,4,2,Spring
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,SevStorm/Flood,5/18/2013,2013,5,18,5/22/2013,2013,5,22,3168.4,27,3,1,1,5/20/2013,140,5,2013,20,5,2,Spring
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,SevStorm/Flood,5/27/2013,2013,5,27,5/31/2013,2013,5,31,2393.8,10,3,1,1,5/29/2013,149,5,2013,22,5,2,Spring
Midwest Severe Weather (August 2013),Severe Storm,SevStorm/Flood,8/6/2013,2013,8,6,8/7/2013,2013,8,7,1365,0,0,0,0,8/6/2013,218,8,2013,32,8,3,Summer
Colorado Flooding (September 2013),Flooding,SevStorm/Flood,9/10/2013,2013,9,10,9/16/2013,2013,9,16,1976.1,9,5,1,1,9/13/2013,256,9,2013,37,9,4,Fall
Ohio Valley Tornadoes (November 2013),Severe Storm,SevStorm/Flood,11/17/2013,2013,11,17,11/17/2013,2013,11,17,1439.7,8,-1,0,0,11/17/2013,321,11,2013,46,11,4,Fall
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,WF/Drought,3/1/2013,2013,3,1,11/30/2013,2013,11,30,13866.6,53,273,39,10,7/16/2013,197,7,2013,29,7,3,Summer
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,Winter/Freeze,1/5/2014,2014,1,5,1/8/2014,2014,1,8,2846.4,16,2,1,1,1/6/2014,6,1,2014,1,1,1,Winter
Plains Severe Weather (April 2014),Severe Storm,SevStorm/Flood,4/2/2014,2014,4,2,4/3/2014,2014,4,3,1851.3,0,0,0,0,4/2/2014,92,4,2014,14,4,2,Spring
Central Severe Weather (April 2014),Severe Storm,SevStorm/Flood,4/12/2014,2014,4,12,4/13/2014,2014,4,13,1193.4,0,0,0,0,4/12/2014,102,4,2014,15,4,2,Spring
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,SevStorm/Flood,4/27/2014,2014,4,27,5/1/2014,2014,5,1,2257.2,33,3,1,1,4/29/2014,119,4,2014,17,4,2,Spring
Center Severe Weather (May 2014),Severe Storm,SevStorm/Flood,5/10/2014,2014,5,10,5/14/2014,2014,5,14,1100.4,0,3,1,1,5/12/2014,132,5,2014,19,5,2,Spring
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,SevStorm/Flood,5/18/2014,2014,5,18,5/23/2014,2014,5,23,4790.1,0,4,1,1,5/20/2014,140,5,2014,20,5,2,Spring
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,SevStorm/Flood,6/3/2014,2014,6,3,6/5/2014,2014,6,5,2475.8,2,1,1,1,6/4/2014,155,6,2014,23,6,3,Summer
Michigan and Northeast Flooding (August 2014),Flooding,SevStorm/Flood,8/11/2014,2014,8,11,8/13/2014,2014,8,13,1330.9,2,1,1,1,8/12/2014,224,8,2014,32,8,3,Summer
Rockies/Plains Severe Weather (September 2014),Severe Storm,SevStorm/Flood,9/29/2014,2014,9,29,10/2/2014,2014,10,2,1806.5,0,2,1,1,9/30/2014,273,9,2014,39,9,4,Fall
Western Drought (2014),Drought,WF/Drought,1/1/2014,2014,1,1,12/31/2014,2014,12,31,5176.8,0,363,52,13,7/2/2014,183,7,2014,27,7,3,Summer
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,Winter/Freeze,2/14/2015,2015,2,14,2/20/2015,2015,2,20,3880.2,30,5,1,1,2/17/2015,48,2,2015,7,2,1,Winter
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,SevStorm/Flood,4/7/2015,2015,4,7,4/9/2015,2015,4,9,2022.1,2,1,1,1,4/8/2015,98,4,2015,14,4,2,Spring
South/Southeast Severe Weather (April 2015),Severe Storm,SevStorm/Flood,4/18/2015,2015,4,18,4/20/2015,2015,4,20,1669.1,0,1,1,1,4/19/2015,109,4,2015,16,4,2,Spring
South and Southeast Severe Weather (April 2015),Severe Storm,SevStorm/Flood,4/24/2015,2015,4,24,4/25/2015,2015,4,25,1227.2,3,0,0,0,4/24/2015,114,4,2015,17,4,2,Spring
Southern Plains Tornadoes (May 2015),Severe Storm,SevStorm/Flood,5/6/2015,2015,5,6,5/10/2015,2015,5,10,1640.9,4,3,1,1,5/8/2015,128,5,2015,19,5,2,Spring
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,SevStorm/Flood,5/23/2015,2015,5,23,5/26/2015,2015,5,26,3275.4,31,2,1,1,5/24/2015,144,5,2015,21,5,2,Spring
Central and Northeast Severe Weather (June 2015),Severe Storm,SevStorm/Flood,6/21/2015,2015,6,21,6/25/2015,2015,6,25,1511.8,1,3,1,1,6/23/2015,174,6,2015,25,6,3,Summer
South Carolina and East Coast Flooding (October 2015),Flooding,SevStorm/Flood,10/1/2015,2015,10,1,10/5/2015,2015,10,5,2577.7,25,3,1,1,10/3/2015,276,10,2015,40,10,4,Fall
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,WF/Drought,6/1/2015,2015,6,1,11/30/2015,2015,11,30,3906.1,12,181,26,7,8/31/2015,243,8,2015,35,8,3,Summer
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,SevStorm/Flood,12/26/2015,2015,12,26,12/29/2015,2015,12,29,2550.4,50,2,1,1,12/27/2015,-4,0,2016,0,0,1,Winter
Western Drought (2015),Drought,WF/Drought,1/1/2015,2015,1,1,12/31/2015,2015,12,31,5850.6,0,363,52,13,7/2/2015,183,7,2015,27,7,3,Summer
Southeast and Eastern Tornadoes (February 2016),Severe Storm,SevStorm/Flood,2/22/2016,2016,2,22,2/24/2016,2016,2,24,1341.6,10,1,1,1,2/23/2016,54,2,2016,8,2,1,Winter
Texas and Louisiana Flooding (March 2016),Flooding,SevStorm/Flood,3/8/2016,2016,3,8,3/12/2016,2016,3,12,2960.3,5,3,1,1,3/10/2016,70,3,2016,10,3,2,Spring
Southern Severe Weather (March 2016),Severe Storm,SevStorm/Flood,3/17/2016,2016,3,17,3/18/2016,2016,3,18,1561.3,1,0,0,0,3/17/2016,77,3,2016,11,3,2,Spring
North Texas Hail Storm (March 2016),Severe Storm,SevStorm/Flood,3/23/2016,2016,3,23,3/24/2016,2016,3,24,2663.6,0,0,0,0,3/23/2016,83,3,2016,12,3,2,Spring
North/Central Texas Hail Storm (April 2016),Severe Storm,SevStorm/Flood,4/10/2016,2016,4,10,4/12/2016,2016,4,12,4478.2,0,1,1,1,4/11/2016,102,4,2016,15,4,2,Spring
Houston Flooding (April 2016),Flooding,SevStorm/Flood,4/17/2016,2016,4,17,4/18/2016,2016,4,18,3478.8,8,0,0,0,4/17/2016,108,4,2016,16,4,2,Spring
South/Southeast Tornadoes (April 2016),Severe Storm,SevStorm/Flood,4/26/2016,2016,4,26,5/2/2016,2016,5,2,3064.9,6,5,1,1,4/29/2016,120,4,2016,18,4,2,Spring
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,SevStorm/Flood,5/8/2016,2016,5,8,5/11/2016,2016,5,11,2201,2,2,1,1,5/9/2016,130,5,2016,19,5,2,Spring
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,SevStorm/Flood,5/21/2016,2016,5,21,5/26/2016,2016,5,26,1467.2,0,4,1,1,5/23/2016,144,5,2016,21,5,2,Spring
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,SevStorm/Flood,6/22/2016,2016,6,22,6/24/2016,2016,6,24,1259.6,23,1,1,1,6/23/2016,175,6,2016,25,6,3,Summer
Rockies and Northeast Severe Weather (July 2016),Severe Storm,SevStorm/Flood,7/28/2016,2016,7,28,7/30/2016,2016,7,30,1876,0,1,1,1,7/29/2016,211,7,2016,31,7,3,Summer
Louisiana Flooding (August 2016),Flooding,SevStorm/Flood,8/12/2016,2016,8,12,8/15/2016,2016,8,15,13000,13,2,1,1,8/13/2016,226,8,2016,33,8,3,Summer
Hurricane Matthew (October 2016),Tropical Cyclone,Tropical Cyclone,10/8/2016,2016,10,8,10/12/2016,2016,10,12,12700,49,3,1,1,10/10/2016,284,10,2016,41,10,4,Fall
West/Northeast/Southeast Drought (2016),Drought,WF/Drought,1/1/2016,2016,1,1,12/31/2016,2016,12,31,4476.6,0,364,52,13,7/1/2016,183,7,2016,27,7,3,Summer
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,WF/Drought,6/1/2016,2016,6,1,12/31/2016,2016,12,31,3041.8,21,212,31,8,9/15/2016,259,9,2016,37,9,4,Fall
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,SevStorm/Flood,1/20/2017,2017,1,20,1/22/2017,2017,1,22,1392.3,24,1,1,1,1/21/2017,21,1,2017,3,1,1,Winter
California Flooding (February 2017),Flooding,SevStorm/Flood,2/8/2017,2017,2,8,2/22/2017,2017,2,22,1890,5,13,2,1,2/15/2017,46,2,2017,7,2,1,Winter
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,SevStorm/Flood,2/28/2017,2017,2,28,3/1/2017,2017,3,1,2275.7,6,0,0,0,2/28/2017,59,2,2017,9,2,1,Winter
Midwest Tornado Outbreak (March 2017),Severe Storm,SevStorm/Flood,3/6/2017,2017,3,6,3/8/2017,2017,3,8,2741.8,2,1,1,1,3/7/2017,66,3,2017,10,3,2,Spring
Southeast Freeze (March 2017),Freeze,Winter/Freeze,3/14/2017,2017,3,14,3/16/2017,2017,3,16,1260,0,1,1,1,3/15/2017,74,3,2017,11,3,2,Spring
South/Southeast Severe Weather (March 2017),Severe Storm,SevStorm/Flood,3/26/2017,2017,3,26,3/28/2017,2017,3,28,3395.7,0,1,1,1,3/27/2017,86,3,2017,13,3,2,Spring
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,SevStorm/Flood,4/4/2017,2017,4,4,4/6/2017,2017,4,6,1229.8,1,1,1,1,4/5/2017,95,4,2017,14,4,2,Spring
South and Southeast Severe Weather (April 2017),Severe Storm,SevStorm/Flood,4/20/2017,2017,4,20,4/22/2017,2017,4,22,1125.2,0,1,1,1,4/21/2017,111,4,2017,16,4,2,Spring
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,SevStorm/Flood,4/25/2017,2017,4,25,5/7/2017,2017,5,7,2090.3,20,11,2,1,5/1/2017,121,5,2017,18,5,2,Spring
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,SevStorm/Flood,5/8/2017,2017,5,8,5/11/2017,2017,5,11,4187.5,0,2,1,1,5/9/2017,129,5,2017,19,5,2,Spring
North Central Severe Weather and Tornadoes (May 2017),Severe Storm,SevStorm/Flood,5/15/2017,2017,5,15,5/18/2017,2017,5,18,1176.5,1,2,1,1,5/16/2017,136,5,2017,20,5,2,Spring
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,SevStorm/Flood,6/9/2017,2017,6,9,6/11/2017,2017,6,11,2937.5,0,1,1,1,6/10/2017,161,6,2017,23,6,3,Summer
Midwest Severe Weather (June 2017a),Severe Storm,SevStorm/Flood,6/12/2017,2017,6,12,6/16/2017,2017,6,16,1886.5,0,3,1,1,6/14/2017,165,6,2017,24,6,3,Summer
Midwest Severe Weather (June 2017b),Severe Storm,SevStorm/Flood,6/27/2017,2017,6,27,6/29/2017,2017,6,29,1781.3,0,1,1,1,6/28/2017,179,6,2017,26,6,3,Summer
Hurricane Harvey (August 2017),Tropical Cyclone,Tropical Cyclone,8/25/2017,2017,8,25,8/31/2017,2017,8,31,155000,89,5,1,1,8/28/2017,240,8,2017,35,8,3,Summer
Hurricane Irma (September 2017),Tropical Cyclone,Tropical Cyclone,9/6/2017,2017,9,6,9/12/2017,2017,9,12,62000,97,5,1,1,9/9/2017,252,9,2017,36,9,4,Fall
Hurricane Maria (September 2017),Tropical Cyclone,Tropical Cyclone,9/19/2017,2017,9,19,9/21/2017,2017,9,21,111600,2981,1,1,1,9/20/2017,263,9,2017,38,9,4,Fall
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,WF/Drought,3/1/2017,2017,3,1,12/31/2017,2017,12,31,3150,0,304,44,11,7/31/2017,212,7,2017,31,7,3,Summer
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,WF/Drought,6/1/2017,2017,6,1,12/31/2017,2017,12,31,22506.3,54,212,31,8,9/15/2017,258,9,2017,37,9,4,Fall
Central and Eastern Winter Storm (January 2018),Winter Storm,Winter/Freeze,1/3/2018,2018,1,3,1/5/2018,2018,1,5,1293.4,22,1,1,1,1/4/2018,4,1,2018,1,1,1,Winter
Northeast Winter Storm (March 2018),Winter Storm,Winter/Freeze,3/1/2018,2018,3,1,3/3/2018,2018,3,3,2698.7,9,1,1,1,3/2/2018,61,3,2018,9,3,2,Spring
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,SevStorm/Flood,3/18/2018,2018,3,18,3/21/2018,2018,3,21,1786.1,0,2,1,1,3/19/2018,78,3,2018,12,3,2,Spring
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,SevStorm/Flood,4/13/2018,2018,4,13,4/16/2018,2018,4,16,1621.4,3,2,1,1,4/14/2018,104,4,2018,15,4,2,Spring
Central and Northeast Severe Weather (May 2018),Severe Storm,SevStorm/Flood,5/1/2018,2018,5,1,5/4/2018,2018,5,4,1710,0,2,1,1,5/2/2018,122,5,2018,18,5,2,Spring
