Weather Disasters to affect the U.S. from 1980-2023 (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,
Name,Disaster,Disaster Group,Begin Date,Yb,Mb,Db,End Date,Ye,Me,De,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Durn (days),Durn (Weeks),Durn (Cal Mos),Central Day,Day of W_yr,MidPt Mo,W_Yr,W_Week,W_Mo,SeasNum,Season
Hurricane Hugo (September 1989),Tropical Cyclone,Tropical Cyclone,9/21/1989,1989,9,21,9/22/1989,1989,9,22,22139.8,86,0,0,0,9/21/1989,264,9,1989,38,9,4,Fall
Northern Plains Drought (Summer-Fall 1989),Drought,WF/Drought,6/1/1989,1989,6,1,11/30/1989,1989,11,30,7628.1,0,181,26,7,8/31/1989,243,8,1989,35,8,3,Summer
Florida Freeze (December 1989),Freeze,Winter/Freeze,12/23/1989,1989,12,23,12/25/1989,1989,12,25,5080,10,1,1,1,12/24/1989,-7,0,1990,-1,0,1,Winter
"Winter Storm, Cold Wave (December 1989)",Winter Storm,Winter/Freeze,12/21/1989,1989,12,21,12/26/1989,1989,12,26,1652.7,100,4,1,1,12/23/1989,-8,0,1990,-1,0,1,Winter
Southern Flooding (May 1990),Flooding,SevStorm/Flood,5/11/1990,1990,5,11,5/19/1990,1990,5,19,2396.3,13,7,1,1,5/15/1990,135,5,1990,20,5,2,Spring
Colorado Hail Storm (July 1990),Severe Storm,SevStorm/Flood,7/11/1990,1990,7,11,7/11/1990,1990,7,11,1927.1,0,-1,0,0,7/11/1990,192,7,1990,28,7,3,Summer
Western Fire Season (Summer 1990),Wildfire,WF/Drought,6/1/1990,1990,6,1,8/31/1990,1990,8,31,1666.1,17,90,13,3,7/16/1990,197,7,1990,29,7,3,Summer
California Freeze (December 1990),Freeze,Winter/Freeze,12/18/1990,1990,12,18,12/25/1990,1990,12,25,8194,0,6,1,1,12/21/1990,-10,0,1991,-1,0,1,Winter
"Severe Storms, Tornadoes (March 1991)",Severe Storm,SevStorm/Flood,3/26/1991,1991,3,26,3/29/1991,1991,3,29,1464,0,2,1,1,3/27/1991,86,3,1991,13,3,2,Spring
Hurricane Bob (August 1991),Tropical Cyclone,Tropical Cyclone,8/18/1991,1991,8,18,8/20/1991,1991,8,20,3381.6,18,1,1,1,8/19/1991,231,8,1991,33,8,3,Summer
U.S. Drought (Spring-Summer 1991),Drought,WF/Drought,3/1/1991,1991,3,1,8/31/1991,1991,8,31,6859.4,0,182,26,7,5/31/1991,151,5,1991,22,5,2,Spring
Oakland Firestorm (October 1991),Wildfire,WF/Drought,10/1/1991,1991,10,1,10/31/1991,1991,10,31,7359,25,29,5,1,10/16/1991,289,10,1991,42,10,4,Fall
Severe Storms (March 1992),Severe Storm,SevStorm/Flood,3/24/1992,1992,3,24,3/25/1992,1992,3,25,1769.5,0,0,0,0,3/24/1992,84,3,1992,12,3,2,Spring
"Hail, Tornadoes (April 1992)",Severe Storm,SevStorm/Flood,4/28/1992,1992,4,28,4/29/1992,1992,4,29,2099.7,0,0,0,0,4/28/1992,119,4,1992,17,4,2,Spring
"Severe Storms, Hail (June 1992)",Severe Storm,SevStorm/Flood,6/19/1992,1992,6,19,6/20/1992,1992,6,20,1638.1,0,0,0,0,6/19/1992,171,6,1992,25,6,3,Summer
Hurricane Andrew (August 1992),Tropical Cyclone,Tropical Cyclone,8/23/1992,1992,8,23,8/27/1992,1992,8,27,58860,61,3,1,1,8/25/1992,238,8,1992,34,8,3,Summer
Hurricane Iniki (September 1992),Tropical Cyclone,Tropical Cyclone,9/11/1992,1992,9,11,9/12/1992,1992,9,12,6727,7,0,0,0,9/11/1992,255,9,1992,37,9,4,Fall
Southeast Severe Weather (November 1992),Severe Storm,SevStorm/Flood,11/21/1992,1992,11,21,11/23/1992,1992,11,23,1418.9,26,1,1,1,11/22/1992,327,11,1992,47,11,4,Fall
Northeast Winter Storm (December 1992),Winter Storm,Winter/Freeze,12/10/1992,1992,12,10,12/13/1992,1992,12,13,5363.3,19,2,1,1,12/11/1992,-20,0,1993,-2,0,1,Winter
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,Winter/Freeze,3/11/1993,1993,3,11,3/14/1993,1993,3,14,11883.3,270,2,1,1,3/12/1993,71,3,1993,11,3,2,Spring
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,SevStorm/Flood,7/8/1993,1993,7,8,7/10/1993,1993,7,10,1371.7,1,1,1,1,7/9/1993,190,7,1993,28,7,3,Summer
Midwest Flooding (Summer 1993),Flooding,SevStorm/Flood,6/27/1993,1993,6,27,8/15/1993,1993,8,15,45065.9,48,48,7,2,7/21/1993,202,7,1993,29,7,3,Summer
Southeast Drought and Heat Wave (Summer 1993),Drought,WF/Drought,6/1/1993,1993,6,1,8/31/1993,1993,8,31,2704.8,16,90,13,3,7/16/1993,197,7,1993,29,7,3,Summer
California Wildfires (Fall 1993),Wildfire,WF/Drought,9/1/1993,1993,9,1,11/30/1993,1993,11,30,2907.6,4,89,13,3,10/16/1993,289,10,1993,42,10,4,Fall
"Winter Storm, Cold Wave (January 1994)",Winter Storm,Winter/Freeze,1/17/1994,1994,1,17,1/20/1994,1994,1,20,2184.5,70,2,1,1,1/18/1994,18,1,1994,3,1,1,Winter
Southeast Ice Storm (February 1994),Winter Storm,Winter/Freeze,2/8/1994,1994,2,8,2/13/1994,1994,2,13,6264.7,9,4,1,1,2/10/1994,41,2,1994,6,2,1,Winter
Midwest/Plains Tornadoes (April 1994),Severe Storm,SevStorm/Flood,4/25/1994,1994,4,25,4/27/1994,1994,4,27,2048.9,3,1,1,1,4/26/1994,116,4,1994,17,4,2,Spring
Tropical Storm Alberto (July 1994),Tropical Cyclone,Tropical Cyclone,7/7/1994,1994,7,7,7/10/1994,1994,7,10,2066.9,32,2,1,1,7/8/1994,189,7,1994,27,7,3,Summer
Texas Flooding (October 1994),Flooding,SevStorm/Flood,10/16/1994,1994,10,16,10/25/1994,1994,10,25,2050,19,8,2,1,10/20/1994,293,10,1994,42,10,4,Fall
Western Fire Season (Summer-Fall 1994),Wildfire,WF/Drought,6/1/1994,1994,6,1,11/30/1994,1994,11,30,1500.9,0,181,26,7,8/31/1994,243,8,1994,35,8,3,Summer
California Flooding (January-March 1995),Flooding,SevStorm/Flood,1/1/1995,1995,1,1,3/31/1995,1995,3,31,5100,27,88,13,3,2/14/1995,45,2,1995,7,2,1,Winter
Texas Hail Storm (April 1995),Severe Storm,SevStorm/Flood,4/28/1995,1995,4,28,4/28/1995,1995,4,28,1161.5,0,-1,0,0,4/28/1995,118,4,1995,17,4,2,Spring
South Plains Severe Weather (May 1995),Severe Storm,SevStorm/Flood,5/5/1995,1995,5,5,5/7/1995,1995,5,7,11082.7,32,1,1,1,5/6/1995,126,5,1995,18,5,2,Spring
Hurricane Erin (August 1995),Tropical Cyclone,Tropical Cyclone,8/1/1995,1995,8,1,8/7/1995,1995,8,7,1708.5,6,5,1,1,8/4/1995,216,8,1995,31,8,3,Summer
Hurricane Marilyn (September 1995),Tropical Cyclone,Tropical Cyclone,9/15/1995,1995,9,15,9/17/1995,1995,9,17,4200,13,1,1,1,9/16/1995,259,9,1995,37,9,4,Fall
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,WF/Drought,7/1/1995,1995,7,1,9/30/1995,1995,9,30,1968,872,90,13,3,8/15/1995,227,8,1995,33,8,3,Summer
